id,loss
131822,-97.02863587832326
131823,-1994.536096812661
131824,731.1891972415374
131825,3179.76935131891
131826,3940.54436453473
131827,572.5766964275881
131828,-289.2329253201415
131829,2984.9320840163537
131830,3809.849630696982
131831,2248.351023191427
131832,-13.7343931252949
131833,-731.8434470375637
131834,2894.5827233547116
131835,1116.7308572572276
131836,-939.6703831986556
131837,7207.852507252963
131838,529.7085838416497
131839,-777.7428781892213
131840,4692.902951595951
131841,1624.5364854081126
131842,5791.023710219375
131843,2930.278235983203
131844,4228.543326573227
131845,4790.20541642394
131846,6785.715058544126
131847,2036.6735485758327
131848,6725.751367243942
131849,2108.084335376204
131850,1579.0316007347694
131851,573.2089849983204
131852,2153.892318795708
131853,462.6512142810716
131854,-642.7645012190105
131855,2412.8647973323104
131856,3451.7712057454014
131857,1215.284238375864
131858,2937.6695406352615
131859,969.9113487590621
131860,708.3512021523152
131861,831.8478342085905
131862,-154.90952045303857
131863,684.2140643027051
131864,3192.2694269250646
131865,678.6695506541646
131866,3068.657318136816
131867,-1657.9929538711735
131868,-1952.2518793467411
131869,4277.521320706819
131870,-1045.5833539860837
131871,7152.309689348929
131872,3611.9657203526394
131873,1845.4293155740966
131874,-229.670886326664
131875,5217.446497747467
131876,2039.1223462725648
131877,7443.34472504145
131878,1627.5338470877052
131879,-1379.4401662831683
131880,930.8478945474276
131881,-534.0782698421976
131882,-765.8987371607782
131883,919.7757087447749
131884,354.91235701456617
131885,977.663609347268
131886,-2142.7686841762447
131887,274.8105632865704
131888,6561.195694079632
131889,5888.361902725799
131890,274.3742014305949
131891,134.90777637672954
131892,4825.520394496177
131893,1431.6740246089273
131894,1700.6276083263488
131895,1949.8964305367151
131896,4555.1516437758455
131897,1894.8305972438297
131898,856.7115303403502
131899,2248.4216258996444
131900,2379.169183772517
131901,5562.606198433587
131902,4213.479473743497
131903,3775.7714434847217
131904,6542.532802136153
131905,821.3005732356496
131906,334.8750777875671
131907,47.05621263285184
131908,1986.8084487667068
131909,61.74343859343935
131910,6136.63281229717
131911,13.789548530835418
131912,640.9074281614517
131913,664.4013016503509
131914,3174.443990678358
131915,4795.969050569201
131916,2192.4710366230374
131917,551.5739337972927
131918,335.5836542501602
131919,549.2041838579548
131920,-888.4132506428195
131921,5476.31061034216
131922,1191.321617920816
131923,4568.834661232293
131924,1034.137408673616
131925,-1628.44779335248
131926,-1071.5213213732363
131927,356.99310326478553
131928,4981.507759399048
131929,6213.092957447356
131930,7737.138754207104
131931,2348.2811452139504
131932,-258.3109582646516
131933,5814.217950698368
131934,858.5416835080564
131935,461.8935287018976
131936,-679.4878514584852
131937,946.0035152458936
131938,1079.4954778121833
131939,157.51765464183381
131940,539.7119502342598
